"manifest_id","source_legacy_id","source_url","legacy_asset_url","legacy_filename","asset_kind","observed_format","disposition","rights_status","privacy_review","alt_text_status","notes"
"M001","B001","https://www.fchfh.org/post/habitat-skydive-2022","https://static.wixstatic.com/media/cfaa59_e1d0bfdc21584852bda97178c99d9ce2~mv2.jpg","","BLOG_HERO","jpg","ARCHIVE","VERIFY_OWNERSHIP","VERIFY","REWRITE_REQUIRED","Indexed hero association; migrate or archive only with the approved parent content and verified source rights."
"M002","B002","https://www.fchfh.org/post/hab-o-ween","https://static.wixstatic.com/media/cfaa59_1abf6629dca44019bf903cb033ce8e0a~mv2.jpg","","BLOG_HERO","jpg","ARCHIVE","VERIFY_OWNERSHIP","VERIFY","REWRITE_REQUIRED","Indexed hero association; migrate or archive only with the approved parent content and verified source rights."
"M003","B003","https://www.fchfh.org/post/st-james-holy-smokers-donate-to-fchfh","https://static.wixstatic.com/media/cfaa59_a3f9d28d640e4ca18c423d537abf250d~mv2_d_4208_3100_s_4_2.jpg","","BLOG_HERO","jpg","MIGRATE_SELECTED","VERIFY_OWNERSHIP","VERIFY","REWRITE_REQUIRED","Indexed hero association; migrate or archive only with the approved parent content and verified source rights."
"M004","B004","https://www.fchfh.org/post/habitat-casino-night-fundraiser-1","https://static.wixstatic.com/media/cfaa59_78f91738603c46e3b8430df6f56b9e45~mv2.png","","BLOG_HERO","png","ARCHIVE","VERIFY_OWNERSHIP","VERIFY","REWRITE_REQUIRED","Indexed hero association; migrate or archive only with the approved parent content and verified source rights."
"M005","B005","https://www.fchfh.org/post/why-sweat-equity-matters-building-more-than-just-homes","https://static.wixstatic.com/media/cfaa59_0eddc7da95724f0bb1229bbf90c474a4~mv2.jpg","","BLOG_HERO","jpg","MIGRATE_SELECTED","VERIFY_OWNERSHIP","VERIFY","REWRITE_REQUIRED","Indexed hero association; migrate or archive only with the approved parent content and verified source rights."
"M006","B006","https://www.fchfh.org/post/matching-fund-campaign-underway-for-fayette-county-habitat-for-humanity","https://static.wixstatic.com/media/cfaa59_2261d49779354361b09a1e5c694a6ac1~mv2_d_2400_1600_s_2.jpg","","BLOG_HERO","jpg","ARCHIVE","VERIFY_OWNERSHIP","VERIFY","REWRITE_REQUIRED","Indexed hero association; migrate or archive only with the approved parent content and verified source rights."
"M007","B007","https://www.fchfh.org/post/join-the-construction-committee-help-build-homes-and-hope-in-fayette-county","https://static.wixstatic.com/media/cfaa59_1e635145340d4d14bfdc997a9b269e0f~mv2.png","IMG_2611.HEIC","BLOG_HERO","png","VERIFY","VERIFY_OWNERSHIP","VERIFY","REWRITE_REQUIRED","Sitemap hero is a Wix PNG conversion of a HEIC upload; obtain the source or highest-quality export and write meaningful alt text."
"M008","B008","https://www.fchfh.org/post/habitat-christmas-coloring-contest-1","https://static.wixstatic.com/media/cfaa59_1ee92cc80f354ee48819d40b204f867d~mv2.gif","","BLOG_HERO","gif","ARCHIVE","VERIFY_OWNERSHIP","REQUIRED","REWRITE_REQUIRED","Indexed hero association; migrate or archive only with the approved parent content and verified source rights."
"M009","B009","https://www.fchfh.org/post/new-project-announcement-camp-st-cottages","https://static.wixstatic.com/media/cfaa59_059e49d9096f415a9346622a1374fb11~mv2.jpg","","BLOG_HERO","jpg","MIGRATE_SELECTED","VERIFY_OWNERSHIP","VERIFY","REWRITE_REQUIRED","Indexed hero association; migrate or archive only with the approved parent content and verified source rights."
"M010","B010","https://www.fchfh.org/post/habitat-paint-day-a-huge-success","https://static.wixstatic.com/media/cfaa59_f8e599b38bd5497cb70e72d98f2ae613~mv2_d_1600_1200_s_2.jpg","","BLOG_HERO","jpg","MIGRATE_SELECTED","VERIFY_OWNERSHIP","VERIFY","REWRITE_REQUIRED","Indexed hero association; migrate or archive only with the approved parent content and verified source rights."
"M011","B011","https://www.fchfh.org/post/hostyn-catholic-youth-host-pancake-supper-for-habitat","https://static.wixstatic.com/media/cfaa59_8507d0291a1a4f428a24c2a677d31f4d~mv2.jpg","","BLOG_HERO","jpg","MIGRATE_SELECTED","VERIFY_OWNERSHIP","REQUIRED","REWRITE_REQUIRED","Indexed hero association; migrate or archive only with the approved parent content and verified source rights."
"M012","B012","https://www.fchfh.org/post/hab-o-ween-laser-tag","https://static.wixstatic.com/media/cfaa59_e370664f8c424e59b4fffd8db7b3d5ca~mv2.jpg","","BLOG_HERO","jpg","ARCHIVE","VERIFY_OWNERSHIP","VERIFY","REWRITE_REQUIRED","Indexed hero association; migrate or archive only with the approved parent content and verified source rights."
"M013","B013","https://www.fchfh.org/post/christmas-card-coloring-contest-winners","https://static.wixstatic.com/media/cfaa59_043459b5f2004b24b16d4f6d9ade3135~mv2.jpg","","BLOG_HERO","jpg","ARCHIVE","VERIFY_OWNERSHIP","REQUIRED","REWRITE_REQUIRED","Indexed hero association; migrate or archive only with the approved parent content and verified source rights."
"M014","B014","https://www.fchfh.org/post/jill-stueber-casserole-fundraiser-for-habitat","https://static.wixstatic.com/media/cfaa59_7beb5b45ddab4ce196863d0fa8b68f1a~mv2.jpg","","BLOG_HERO","jpg","ARCHIVE","VERIFY_OWNERSHIP","VERIFY","REWRITE_REQUIRED","Indexed hero association; migrate or archive only with the approved parent content and verified source rights."
"M015","B015","https://www.fchfh.org/post/cisneros-vlasac-close-on-new-home","https://static.wixstatic.com/media/cfaa59_46e1f9e1cacc484994972346adb53c18~mv2.jpg","","BLOG_HERO","jpg","MIGRATE_SELECTED","VERIFY_OWNERSHIP","REQUIRED","REWRITE_REQUIRED","Indexed hero association; migrate or archive only with the approved parent content and verified source rights."
"M016","B016","https://www.fchfh.org/post/hab-o-ween-volunteers-needed","https://static.wixstatic.com/media/cfaa59_a7bc0e535d204e019d226d437786dbd0~mv2.jpg","","BLOG_HERO","jpg","ARCHIVE","VERIFY_OWNERSHIP","VERIFY","REWRITE_REQUIRED","Indexed hero association; migrate or archive only with the approved parent content and verified source rights."
"M017","B017","https://www.fchfh.org/post/habitat-helps-out-at-st-james-episcopal-church","https://static.wixstatic.com/media/cfaa59_daa92d638236400083af458b785fb8e8~mv2.jpg","","BLOG_HERO","jpg","MIGRATE_SELECTED","VERIFY_OWNERSHIP","VERIFY","REWRITE_REQUIRED","Indexed hero association; migrate or archive only with the approved parent content and verified source rights."
"M018","B018","https://www.fchfh.org/post/habitat-casino-night-fundraiser","https://static.wixstatic.com/media/cfaa59_789b69c4bdb74d68bf4fbea21caa79ec~mv2.png","","BLOG_HERO","png","ARCHIVE","VERIFY_OWNERSHIP","VERIFY","REWRITE_REQUIRED","Indexed hero association; migrate or archive only with the approved parent content and verified source rights."
"M019","B019","https://www.fchfh.org/post/second-chance-emporium-donates-to-fchfh","https://static.wixstatic.com/media/cfaa59_0afb13b943344722a58c20308a319b2e~mv2_d_2032_1524_s_2.jpg","","BLOG_HERO","jpg","MIGRATE_SELECTED","VERIFY_OWNERSHIP","VERIFY","REWRITE_REQUIRED","Indexed hero association; migrate or archive only with the approved parent content and verified source rights."
"M020","B020","https://www.fchfh.org/post/hab-o-ween-laser-tag-signup","https://static.wixstatic.com/media/cfaa59_de81e05c39854d4fba7591515271e516~mv2.jpeg","","BLOG_HERO","jpeg","ARCHIVE","VERIFY_OWNERSHIP","VERIFY","REWRITE_REQUIRED","Indexed hero association; migrate or archive only with the approved parent content and verified source rights."
"M021","B021","https://www.fchfh.org/post/wright-home-update","https://static.wixstatic.com/media/cfaa59_0763f524fde24d95895d58ecc01cff85~mv2.jpg","","BLOG_HERO","jpg","MIGRATE_SELECTED","VERIFY_OWNERSHIP","REQUIRED","REWRITE_REQUIRED","Indexed hero association; migrate or archive only with the approved parent content and verified source rights."
"M022","B022","https://www.fchfh.org/post/building-futures-why-your-donation-makes-a-lasting-impact","https://static.wixstatic.com/media/cfaa59_bd3afbd5e6454246a7cce4a427318ea5~mv2.jpg","","BLOG_HERO","jpg","VERIFY","VERIFY_OWNERSHIP","VERIFY","REWRITE_REQUIRED","Indexed hero association; migrate or archive only with the approved parent content and verified source rights."
"M023","B023","https://www.fchfh.org/post/fayette-county-habitat-housing-survey-2020","https://static.wixstatic.com/media/11062b_d3318dd21f604338bda270908a0d9d77~mv2.jpg","","BLOG_HERO","jpg","MIGRATE_SELECTED","VERIFY_OWNERSHIP","VERIFY","REWRITE_REQUIRED","Indexed hero association; migrate or archive only with the approved parent content and verified source rights."
"M024","B024","https://www.fchfh.org/post/support-habitat-skydivers","https://static.wixstatic.com/media/cfaa59_e1d0bfdc21584852bda97178c99d9ce2~mv2.jpg","","BLOG_HERO","jpg","ARCHIVE","VERIFY_OWNERSHIP","VERIFY","REWRITE_REQUIRED","Indexed hero association; migrate or archive only with the approved parent content and verified source rights."
