"legacy_id","source_kind","legacy_url","sitemap_sources","sitemap_last_modified","disposition","content_value","risk_flags","decision_basis"
"P001","PAGE","https://www.fchfh.org/plannedgiving","PAGES_SITEMAP","2026-07-01","VERIFY","PLANNED_GIVING","LEGAL_REVIEW|HUMAN_VERIFY","Verify legal language and current planned-giving process before transforming approved material."
"P002","PAGE","https://www.fchfh.org/copy-2-of-schutzenfest-booth","PAGES_SITEMAP","2026-07-01","RETIRE","EVENT_COPY_ARTIFACT","DUPLICATE|STALE_EVENT","Merge any unique historical evidence into the retained event record; do not preserve the copied page."
"P003","PAGE","https://www.fchfh.org/getinvolved","PAGES_SITEMAP","2026-07-01","MIGRATE_SELECTED","ENGAGEMENT_OVERVIEW","HUMAN_VERIFY","Transform approved calls to action into the greenfield engagement experience."
"P004","PAGE","https://www.fchfh.org/bios","PAGES_SITEMAP","2026-07-01","VERIFY","PEOPLE_BIOGRAPHIES","HUMAN_VERIFY|PRIVACY_REVIEW","Verify current people roles biographies and consent before selective migration."
"P005","PAGE","https://www.fchfh.org/blueprintrules","PAGES_SITEMAP","2026-07-01","ARCHIVE","EVENT_RULES","STALE_EVENT|RAFFLE_LEGAL","Retain as event and legal evidence; publish only if a current edition requires reviewed rules."
"P006","PAGE","https://www.fchfh.org/financialliteracy","PAGES_SITEMAP","2026-07-01","VERIFY","PROGRAM","HUMAN_VERIFY","Verify program status eligibility and claims; transform approved facts into structured program content."
"P007","PAGE","https://www.fchfh.org/copy-of-bourbon-build-rules","PAGES_SITEMAP","2026-07-01","RETIRE","EVENT_COPY_ARTIFACT","DUPLICATE|RAFFLE_LEGAL","Merge any required legal history into the retained event record; retire the copied page."
"P008","PAGE","https://www.fchfh.org/blog","PAGES_SITEMAP|BLOG_CATEGORIES_SITEMAP","2026-07-01","MIGRATE_SELECTED","COMMUNICATIONS_INDEX_SOURCE","LEGACY_TAXONOMY","Select valuable stories and news independently; this legacy index does not define Communications IA."
"P009","PAGE","https://www.fchfh.org/bourbonwinners","PAGES_SITEMAP","2026-07-01","ARCHIVE","EVENT_RESULTS","RAFFLE_LEGAL|STALE_EVENT","Preserve past results as dated evidence after legal review; do not present as a current event."
"P010","PAGE","https://www.fchfh.org/bourbon","PAGES_SITEMAP","2026-07-01","ARCHIVE","EVENT","RAFFLE_LEGAL|STALE_EVENT","Preserve the dated event record and legally required results or rules; current editions require verification."
"P011","PAGE","https://www.fchfh.org/homerepair","PAGES_SITEMAP","2026-07-01","VERIFY","PROGRAM","HUMAN_VERIFY|ELIGIBILITY","Verify program scope eligibility and intake process before transformation."
"P012","PAGE","https://www.fchfh.org/copy-of-volunteer-faqs","PAGES_SITEMAP","2026-07-01","RETIRE","VOLUNTEER_COPY_ARTIFACT","DUPLICATE|HUMAN_VERIFY","Merge approved unique answers into the future volunteer experience; retire the copied page."
"P013","PAGE","https://www.fchfh.org/whoweare","PAGES_SITEMAP","2026-07-01","MIGRATE_SELECTED","ORGANIZATION_HISTORY","HUMAN_VERIFY","Preserve verified institutional history and mission facts without copying legacy structure."
"P014","PAGE","https://www.fchfh.org/copy-of-casino-night","PAGES_SITEMAP","2026-07-01","RETIRE","EVENT_COPY_ARTIFACT","DUPLICATE|STALE_EVENT","Merge any unique event history into retained editions; retire the copied page."
"P015","PAGE","https://www.fchfh.org/campstcottages","PAGES_SITEMAP","2026-07-01","MIGRATE_SELECTED","PROJECT","HUMAN_VERIFY","Transform verified Camp St. Cottages history media partners and outcomes into structured records."
"P016","PAGE","https://www.fchfh.org/copy-3-of-schutzenfest-booth-1","PAGES_SITEMAP","2026-07-01","RETIRE","EVENT_COPY_ARTIFACT","DUPLICATE|STALE_EVENT","Merge any unique event evidence into the retained event record; retire the copied page."
"P017","PAGE","https://www.fchfh.org/volunteer","PAGES_SITEMAP","2026-07-01","MIGRATE_SELECTED","VOLUNTEER","EXTERNAL_DEPENDENCY|HUMAN_VERIFY","Preserve approved volunteer guidance while DonorView remains system of record for volunteer data."
"P018","PAGE","https://www.fchfh.org/project-history","PAGES_SITEMAP","2026-07-01","MIGRATE_SELECTED","PROJECT_HISTORY","PRIVACY_REVIEW|HUMAN_VERIFY","Transform verified projects dates media and outcomes into structured records with participant privacy review."
"P019","PAGE","https://www.fchfh.org/donate","PAGES_SITEMAP","2026-07-01","VERIFY","DONATION","EXTERNAL_DEPENDENCY|DONATION_CLAIMS","Verify DonorView destinations and vehicle-donation link; transform public guidance without owning gift records."
"P020","PAGE","https://www.fchfh.org/potentialhomeowners","PAGES_SITEMAP","2026-07-01","VERIFY","HOMEOWNER_INFORMATION","PRIVACY_REVIEW|ELIGIBILITY|HUMAN_VERIFY","Verify public eligibility guidance; do not reproduce sensitive application intake or private applicant data."
"P021","PAGE","https://www.fchfh.org/casinonight","PAGES_SITEMAP","2026-07-01","ARCHIVE","EVENT","STALE_EVENT|EXTERNAL_DEPENDENCY","Preserve the dated edition as event history; verify any future edition and registration destination separately."
"P022","PAGE","https://www.fchfh.org/rapidresponse","PAGES_SITEMAP","2026-07-01","VERIFY","PROGRAM","HIGH_RISK_PII|ELIGIBILITY|HUMAN_VERIFY","Block the SSN-and-email PDF from migration; verify safe public program guidance for transformation."
"P023","PAGE","https://www.fchfh.org/schutzenfest","PAGES_SITEMAP","2026-07-01","ARCHIVE","EVENT","STALE_EVENT|BROKEN_EXTERNAL_LINK","Preserve useful dated event and partner evidence; verify future editions and destinations."
"P024","PAGE","https://www.fchfh.org/sausagefest","PAGES_SITEMAP","2026-07-01","ARCHIVE","EVENT","STALE_EVENT|HUMAN_VERIFY","Preserve useful event history and media; verify any future edition separately."
"P025","PAGE","https://www.fchfh.org/buildrules","PAGES_SITEMAP","2026-07-01","VERIFY","EVENT_RULES","INACTIVE_EXTERNAL_FORM|RAFFLE_LEGAL","The linked DonorView form is inactive; verify current rules and legally required history."
"P026","PAGE","https://www.fchfh.org/copy-3-of-schutzenfest-booth","PAGES_SITEMAP","2026-07-01","RETIRE","EVENT_COPY_ARTIFACT","DUPLICATE|BROKEN_EXTERNAL_LINK","Merge any unique evidence into the retained event record; remove the unresolved legacy-domain link."
"P027","PAGE","https://www.fchfh.org/aginginplace","PAGES_SITEMAP","2026-07-01","VERIFY","PROGRAM","HIGH_RISK_PII|ELIGIBILITY|HUMAN_VERIFY","Block the shared SSN-and-email assistance PDF; verify safe public program guidance."
"P028","PAGE","https://www.fchfh.org/2x4fundraiser","PAGES_SITEMAP","2026-07-01","ARCHIVE","CAMPAIGN_HISTORY","INACTIVE_EXTERNAL_FORM|BROKEN_EXTERNAL_LINK|STALE_EVENT","Preserve useful campaign history; the DonorView form is inactive and legacy domain link must be replaced."
"P029","PAGE","https://www.fchfh.org/restore","PAGES_SITEMAP","2026-07-01","VERIFY","RESTORE","HUMAN_VERIFY","Verify address hours donation policy and operating details before transformation."
"P030","PAGE","https://www.fchfh.org/","PAGES_SITEMAP","2026-07-01","MIGRATE_SELECTED","HOMEPAGE_SOURCE","LEGACY_INDEPENDENCE","Select verified facts and evidence only; the legacy homepage does not define the new homepage or IA."
"P031","PAGE","https://www.fchfh.org/meettheboard","PAGES_SITEMAP","2026-07-01","VERIFY","BOARD","HUMAN_VERIFY|PRIVACY_REVIEW","Verify current roster roles biographies and photo consent before transformation."
"P032","PAGE","https://www.fchfh.org/newsletter","PAGES_SITEMAP","2026-07-01","MIGRATE_SELECTED","NEWSLETTER_ARCHIVE","HUMAN_VERIFY","Preserve selected newsletter history and establish a new Communications-owned newsletter experience."
"P033","PAGE","https://www.fchfh.org/copy-of-blog","PAGES_SITEMAP","2026-07-01","RETIRE","COMMUNICATIONS_COPY_ARTIFACT","DUPLICATE","Retire the copied index; it has no authority over the new Communications domain."
"P034","PAGE","https://www.fchfh.org/copy-of-newsletter","PAGES_SITEMAP","2026-07-01","RETIRE","NEWSLETTER_COPY_ARTIFACT","DUPLICATE","Merge any unique archive evidence into the selected newsletter migration; retire the copied page."
"P035","PAGE","https://www.fchfh.org/copy-of-bourbon-blueprint-rules","PAGES_SITEMAP","2026-07-01","RETIRE","EVENT_COPY_ARTIFACT","DUPLICATE|RAFFLE_LEGAL","Merge any legally necessary evidence into retained event records; retire the copied page."
"P036","PAGE","https://www.fchfh.org/giftinkind","PAGES_SITEMAP","2026-07-01","VERIFY","GIFT_IN_KIND","HUMAN_VERIFY|DONATION_CLAIMS","Verify accepted items valuation language and operational process before transformation."
"B001","POST","https://www.fchfh.org/post/habitat-skydive-2022","BLOG_POSTS_SITEMAP","2022-01-18","ARCHIVE","EVENT_HISTORY","STALE_EVENT","Preserve as dated event history; do not present as current."
"B002","POST","https://www.fchfh.org/post/hab-o-ween","BLOG_POSTS_SITEMAP","2021-09-16","ARCHIVE","EVENT_HISTORY","STALE_EVENT","Preserve as dated event history."
"B003","POST","https://www.fchfh.org/post/st-james-holy-smokers-donate-to-fchfh","BLOG_POSTS_SITEMAP","2018-12-13","MIGRATE_SELECTED","PARTNER_HISTORY","PARTNER_PERMISSION|PHOTO_CONSENT","Valuable partner and community history subject to attribution and media rights."
"B004","POST","https://www.fchfh.org/post/habitat-casino-night-fundraiser-1","BLOG_POSTS_SITEMAP","2025-09-03","ARCHIVE","EVENT_HISTORY","STALE_EVENT","Preserve the dated fundraiser edition; future editions are separate records."
"B005","POST","https://www.fchfh.org/post/why-sweat-equity-matters-building-more-than-just-homes","BLOG_POSTS_SITEMAP","2025-03-17","MIGRATE_SELECTED","EVERGREEN_EDUCATION","CLAIMS_VERIFY","Candidate evergreen educational content after factual review."
"B006","POST","https://www.fchfh.org/post/matching-fund-campaign-underway-for-fayette-county-habitat-for-humanity","BLOG_POSTS_SITEMAP","2018-12-30","ARCHIVE","CAMPAIGN_HISTORY","STALE_CAMPAIGN|DONATION_CLAIMS","Preserve dated campaign evidence; remove obsolete calls to action."
"B007","POST","https://www.fchfh.org/post/join-the-construction-committee-help-build-homes-and-hope-in-fayette-county","BLOG_POSTS_SITEMAP","2025-04-07","VERIFY","VOLUNTEER_RECRUITMENT","HUMAN_VERIFY|PHOTO_CONSENT","Verify committee structure and current recruitment details before reuse."
"B008","POST","https://www.fchfh.org/post/habitat-christmas-coloring-contest-1","BLOG_POSTS_SITEMAP","2022-11-16","ARCHIVE","EVENT_HISTORY","STALE_EVENT|MINOR_CONSENT","Preserve dated contest history with child-media consent review."
"B009","POST","https://www.fchfh.org/post/new-project-announcement-camp-st-cottages","BLOG_POSTS_SITEMAP","2021-09-10","MIGRATE_SELECTED","PROJECT_HISTORY","HUMAN_VERIFY","Valuable Camp St. Cottages project history for structured transformation."
"B010","POST","https://www.fchfh.org/post/habitat-paint-day-a-huge-success","BLOG_POSTS_SITEMAP","2019-02-11","MIGRATE_SELECTED","PROJECT_HISTORY","PHOTO_CONSENT","Valuable build and volunteer history subject to media consent."
"B011","POST","https://www.fchfh.org/post/hostyn-catholic-youth-host-pancake-supper-for-habitat","BLOG_POSTS_SITEMAP","2018-11-11","MIGRATE_SELECTED","PARTNER_HISTORY","MINOR_CONSENT|PARTNER_PERMISSION","Valuable community partnership history subject to minor and partner permissions."
"B012","POST","https://www.fchfh.org/post/hab-o-ween-laser-tag","BLOG_POSTS_SITEMAP","2022-10-07","ARCHIVE","EVENT_HISTORY","STALE_EVENT","Preserve as dated event history."
"B013","POST","https://www.fchfh.org/post/christmas-card-coloring-contest-winners","BLOG_POSTS_SITEMAP","2020-12-14","ARCHIVE","EVENT_RESULTS","STALE_EVENT|MINOR_CONSENT","Preserve dated results only after child-media consent review."
"B014","POST","https://www.fchfh.org/post/jill-stueber-casserole-fundraiser-for-habitat","BLOG_POSTS_SITEMAP","2024-03-04","ARCHIVE","CAMPAIGN_HISTORY","STALE_CAMPAIGN","Preserve dated fundraiser history; remove obsolete transaction calls to action."
"B015","POST","https://www.fchfh.org/post/cisneros-vlasac-close-on-new-home","BLOG_POSTS_SITEMAP","2019-08-09","MIGRATE_SELECTED","PROJECT_HISTORY","PRIVACY_REVIEW|PARTICIPANT_CONSENT","Valuable project milestone subject to participant privacy and publication consent."
"B016","POST","https://www.fchfh.org/post/hab-o-ween-volunteers-needed","BLOG_POSTS_SITEMAP","2021-09-30","ARCHIVE","VOLUNTEER_HISTORY","STALE_EVENT","Preserve dated recruitment history; do not reuse obsolete call to action."
