"legacy_id","source_path","redirect_status","target_path","planned_response","query_policy","target_hint","notes"
"P001","/plannedgiving","DECISION_REQUIRED","","301_OR_410","ALLOWLIST_MARKETING","PLANNED_GIVING","Complete the stated factual legal privacy or dependency check before assigning a greenfield target."
"P002","/copy-2-of-schutzenfest-booth","MERGE_REQUIRED","","301","ALLOWLIST_MARKETING","EVENT_COPY_ARTIFACT","Merge any approved value into EVENT_COPY_ARTIFACT; set the final greenfield target after IA review."
"P003","/getinvolved","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","ENGAGEMENT_OVERVIEW","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"P004","/bios","DECISION_REQUIRED","","301_OR_410","ALLOWLIST_MARKETING","PEOPLE_BIOGRAPHIES","Complete the stated factual legal privacy or dependency check before assigning a greenfield target."
"P005","/blueprintrules","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT_RULES","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"P006","/financialliteracy","DECISION_REQUIRED","","301_OR_410","ALLOWLIST_MARKETING","PROGRAM","Complete the stated factual legal privacy or dependency check before assigning a greenfield target."
"P007","/copy-of-bourbon-build-rules","MERGE_REQUIRED","","301","ALLOWLIST_MARKETING","EVENT_COPY_ARTIFACT","Merge any approved value into EVENT_COPY_ARTIFACT; set the final greenfield target after IA review."
"P008","/blog","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","COMMUNICATIONS_INDEX_SOURCE","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"P009","/bourbonwinners","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT_RESULTS","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"P010","/bourbon","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"P011","/homerepair","DECISION_REQUIRED","","301_OR_410","ALLOWLIST_MARKETING","PROGRAM","Complete the stated factual legal privacy or dependency check before assigning a greenfield target."
"P012","/copy-of-volunteer-faqs","MERGE_REQUIRED","","301","ALLOWLIST_MARKETING","VOLUNTEER_COPY_ARTIFACT","Merge any approved value into VOLUNTEER_COPY_ARTIFACT; set the final greenfield target after IA review."
"P013","/whoweare","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","ORGANIZATION_HISTORY","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"P014","/copy-of-casino-night","MERGE_REQUIRED","","301","ALLOWLIST_MARKETING","EVENT_COPY_ARTIFACT","Merge any approved value into EVENT_COPY_ARTIFACT; set the final greenfield target after IA review."
"P015","/campstcottages","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","PROJECT","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"P016","/copy-3-of-schutzenfest-booth-1","MERGE_REQUIRED","","301","ALLOWLIST_MARKETING","EVENT_COPY_ARTIFACT","Merge any approved value into EVENT_COPY_ARTIFACT; set the final greenfield target after IA review."
"P017","/volunteer","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","VOLUNTEER","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"P018","/project-history","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","PROJECT_HISTORY","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"P019","/donate","DECISION_REQUIRED","","301_OR_410","ALLOWLIST_MARKETING","DONATION","Complete the stated factual legal privacy or dependency check before assigning a greenfield target."
"P020","/potentialhomeowners","DECISION_REQUIRED","","301_OR_410","ALLOWLIST_MARKETING","HOMEOWNER_INFORMATION","Complete the stated factual legal privacy or dependency check before assigning a greenfield target."
"P021","/casinonight","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"P022","/rapidresponse","DECISION_REQUIRED","","301_OR_410","ALLOWLIST_MARKETING","PROGRAM","Complete the stated factual legal privacy or dependency check before assigning a greenfield target."
"P023","/schutzenfest","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"P024","/sausagefest","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"P025","/buildrules","DECISION_REQUIRED","","301_OR_410","ALLOWLIST_MARKETING","EVENT_RULES","Complete the stated factual legal privacy or dependency check before assigning a greenfield target."
"P026","/copy-3-of-schutzenfest-booth","MERGE_REQUIRED","","301","ALLOWLIST_MARKETING","EVENT_COPY_ARTIFACT","Merge any approved value into EVENT_COPY_ARTIFACT; set the final greenfield target after IA review."
"P027","/aginginplace","DECISION_REQUIRED","","301_OR_410","ALLOWLIST_MARKETING","PROGRAM","Complete the stated factual legal privacy or dependency check before assigning a greenfield target."
"P028","/2x4fundraiser","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","CAMPAIGN_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"P029","/restore","DECISION_REQUIRED","","301_OR_410","ALLOWLIST_MARKETING","RESTORE","Complete the stated factual legal privacy or dependency check before assigning a greenfield target."
"P030","/","KEEP_CANONICAL","/","200","ALLOWLIST_MARKETING","HOMEPAGE_SOURCE","Canonical root; scheme and host variants are handled at the edge."
"P031","/meettheboard","DECISION_REQUIRED","","301_OR_410","ALLOWLIST_MARKETING","BOARD","Complete the stated factual legal privacy or dependency check before assigning a greenfield target."
