"link_id","source_url","external_url","provider","purpose","observed_http_status","observed_state","disposition","replacement_url","notes"
"E001","https://www.fchfh.org/","http://www.sitecam.io","SITECAM","project camera","200","ACTIVE","VERIFY","","Confirm continued service need privacy terms and HTTPS destination."
"E002","https://www.fchfh.org/","https://schulenburgtx.org","PARTNER","community partner","200","ACTIVE","VERIFY","","Verify relevance attribution and partner-link approval."
"E003","https://www.fchfh.org/","https://www.stanzelfamilyfoundation.org","PARTNER","funder recognition","200","ACTIVE","VERIFY","","Verify current recognition and logo or name permission."
"E004","https://www.fchfh.org/","https://www.texaswomensleague.org","PARTNER","partner recognition","200","ACTIVE","VERIFY","","Verify current recognition and logo or name permission."
"E005","https://www.fchfh.org/2x4fundraiser","http://www.FayetteCountyHabitat.org","LEGACY_DOMAIN","legacy site link","301_TO_200","REDIRECTS_TO_CANONICAL","RETIRE","","Replace with the final contextual greenfield destination; do not retain the alternate domain."
"E006","https://www.fchfh.org/2x4fundraiser","https://app.donorview.com/9Kp38","DONORVIEW","2x4 form","200","INACTIVE","RETIRE","","DonorView displays this page is not currently active; remove or replace only with a confirmed supported destination."
"E007","https://www.fchfh.org/blueprintrules","https://www.facebook.com/FayetteCountyHabitat","FACEBOOK","social profile","200","ACTIVE","VERIFY","","Verify official account ownership and current social-link policy."
"E008","https://www.fchfh.org/buildrules","https://app.dvforms.net/api/dv/r79q7o","DONORVIEW","event form","200","INACTIVE","RETIRE","","DonorView displays this page is not currently active; do not migrate the link."
"E009","https://www.fchfh.org/buildrules","https://www.facebook.com/FayetteCountyHabitat","FACEBOOK","social profile","200","ACTIVE","VERIFY","","Verify official account ownership and current social-link policy."
"E010","https://www.fchfh.org/campstcottages","https://app.donorview.com/MDm1A","DONORVIEW","Camp St. Cottages donation destination","200","ACTIVE","VERIFY","","Observed title Camp St. Cottages; confirm account ownership designation reporting and continued availability."
"E011","https://www.fchfh.org/casinonight","https://app.dvforms.net/api/dv/7pw125","DONORVIEW","Casino Night 2026 form","200","ACTIVE","ARCHIVE","","Observed title Habitat Casino Night 2026; treat as an edition-specific destination and verify before reuse."
"E012","https://www.fchfh.org/copy-3-of-schutzenfest-booth","http://www.fayettehabitat.org","LEGACY_DOMAIN","legacy site link","000","DNS_FAILURE","RETIRE","","Host did not resolve during audit; remove and map context to a final internal destination if value remains."
"E013","https://www.fchfh.org/donate","https://app.donorview.com/XwDvr","DONORVIEW","one-time donation","200","ACTIVE","VERIFY","","Observed active Habitat for Humanity donation page; confirm account ownership fund mapping fees receipts and supported embed or hosted-link use."
"E014","https://www.fchfh.org/donate","https://app.donorview.com/jnP5G","DONORVIEW","recurring donation","200","ACTIVE","VERIFY","","Observed active Recurring Donation page; confirm account ownership recurring-gift terms receipts and supported use."
"E015","https://www.fchfh.org/donate","https://www.cardonationwizard.com/habitat-for-humanity/donate/donate-a-car-build-a-home-in-your-local-community.html","CARS_FOR_HOMES","vehicle donation","403","BOT_OR_EDGE_BLOCK","MIGRATE_SELECTED","https://www.cardonationwizard.com/habitat-for-humanity/donate/donate-a-car-build-a-home-in-your-local-community.html","The observed legacy URL carried transient user/session query values; those values were removed before version control. Confirm this clean organization-approved Cars for Homes URL in a browser."
"E016","https://www.fchfh.org/potentialhomeowners","https://app.donorview.com/VKjQR","DONORVIEW","homeowner interest survey","200","ACTIVE","VERIFY","","Observed title Survey; confirm purpose fields retention access controls and whether DonorView is approved for applicant-interest data."
"E017","https://www.fchfh.org/sausagefest","https://www.schulenburgsausagefest.com","EVENT_PARTNER","event site","200","ACTIVE","VERIFY","","Verify the current edition and relationship before publication."
"E018","https://www.fchfh.org/schutzenfest","https://www.friendsofkbmh.org/Schuetzenfest","EVENT_PARTNER","event site","404","NOT_FOUND","VERIFY","","Observed 404; replace or remove after confirming the current organizer destination."
